post_id,upload_date,video_duration_min,avg_view_duration_sec,avg_view_percentage,subscribers_gained,traffic_source,ctr_percentage,impressions,likes,comments,shares,total_watch_time_hours,content_category
YT0000085,2025-04-16 08:32:24.541512,47.23,450,15.88,57,Channel Page,0.98,959657,3145,2385,1115,119957.12,Sports
YT0000086,2025-10-23 08:32:24.541512,1.93,72,62.18,295,Browse,9.74,290306,13414,2715,2071,5806.12,Comedy
YT0000087,2024-12-28 08:32:24.541512,38.47,1359,58.88,69,Browse,14.53,892614,5486,1284,331,336961.78,Sports
YT0000088,2025-09-25 08:32:24.541512,20.98,1038,82.46,404,Search,8.02,1803634,84474,7355,696,520047.8,Comedy
YT0000089,2025-05-01 08:32:24.541512,1.6,24,25.0,499,Notifications,4.54,790044,38488,6109,383,5266.96,News
YT0000090,2025-07-18 08:32:24.541512,36.88,2184,98.7,542,Suggested,4.57,275897,98364,2853,2188,167377.51,Reacts
YT0000091,2025-10-25 08:32:24.541512,42.87,1421,55.24,184,Shorts Feed,24.77,1682117,34835,7144,981,663968.96,Gaming
YT0000092,2025-10-25 08:32:24.541512,36.92,1269,57.29,292,Notifications,16.86,271171,51209,1187,383,95587.78,Sports
YT0000093,2025-11-11 08:32:24.541512,28.0,1291,76.85,139,Suggested,11.73,40401,18389,1935,23,14488.25,Sports
YT0000094,2025-09-04 08:32:24.541512,41.11,2228,90.33,632,Notifications,25.13,1155926,57976,5395,521,715389.76,News
YT0000095,2025-03-11 08:32:24.541512,14.49,714,82.13,466,Shorts Feed,21.72,1683443,54229,6158,2509,333882.86,Education
YT0000096,2025-01-11 08:32:24.541512,45.76,1932,70.37,189,External,7.56,72706,62308,7488,538,39018.89,Music
YT0000097,2025-04-30 08:32:24.541512,2.1,111,88.1,208,Playlist,23.27,146280,96579,982,1964,4510.3,News
YT0000098,2025-10-14 08:32:24.541512,27.69,1279,76.98,587,Search,11.65,335996,18486,193,2478,119371.91,Tech
YT0000099,2025-04-24 08:32:24.541512,30.11,718,39.74,71,Channel Page,29.55,974915,5258,7816,779,194441.38,Music
YT0000100,2025-01-22 08:32:24.541512,44.74,2107,78.49,2,Channel Page,20.8,1131314,37750,3756,2040,662132.94,Gaming
YT0000101,2025-10-24 08:32:24.541512,57.19,2141,62.39,525,Notifications,1.64,359870,65770,1861,526,214022.69,Music
YT0000102,2025-11-02 08:32:24.541512,22.41,1014,75.41,244,External,1.34,715185,98146,7743,1382,201443.78,Education
YT0000103,2025-04-27 08:32:24.541512,32.93,344,17.41,478,Channel Page,14.55,465148,75779,3128,513,44447.48,Music
YT0000104,2025-11-03 08:32:24.541512,49.49,206,6.94,698,Shorts Feed,19.09,1499062,36515,5901,154,85779.66,Gaming
YT0000105,2025-05-17 08:32:24.541512,57.78,3300,95.19,601,Playlist,2.19,1644264,8855,2355,134,1507242.0,Education
YT0000106,2025-01-22 08:32:24.541512,18.81,657,58.21,323,Suggested,0.49,911024,45365,6158,569,166261.88,Sports
YT0000107,2025-11-03 08:32:24.541512,52.81,642,20.26,465,Shorts Feed,3.45,1992944,70360,3204,2642,355408.35,Sports
YT0000108,2025-09-15 08:32:24.541512,18.0,429,39.72,345,Suggested,11.52,1613063,85490,4445,920,192223.34,Comedy
YT0000109,2024-11-25 08:32:24.541512,31.4,1152,61.15,372,Notifications,17.5,325988,94474,2353,713,104316.16,Music
YT0000110,2025-10-15 08:32:24.541512,14.0,110,13.1,498,External,15.43,1375341,16390,7814,2140,42024.31,Sports
YT0000111,2025-11-18 08:32:24.541512,9.13,53,9.68,361,Notifications,18.56,789986,81208,957,740,11630.35,Gaming
YT0000112,2025-01-13 08:32:24.541512,57.28,349,10.15,567,Browse,26.69,1339354,80101,7331,2836,129842.93,Vlog
YT0000113,2025-04-09 08:32:24.541512,20.38,161,13.17,250,External,23.7,261892,25742,5996,927,11712.39,Vlog
YT0000114,2024-12-17 08:32:24.541512,30.89,1635,88.22,588,Playlist,21.92,1340247,41226,2778,604,608695.51,Education
YT0000115,2025-06-05 08:32:24.541512,54.6,2254,68.8,147,External,6.69,367902,89684,6597,2965,230347.53,Sports
YT0000116,2025-07-14 08:32:24.541512,13.3,740,92.73,227,Notifications,23.48,622323,46224,3683,2214,127921.95,Sports
YT0000117,2025-05-09 08:32:24.541512,55.34,2316,69.75,138,Browse,3.9,31356,85063,1183,2397,20172.36,Vlog
YT0000118,2025-10-03 08:32:24.541512,41.19,2361,95.53,236,Shorts Feed,13.44,1360615,45121,149,2170,892336.67,Sports
YT0000119,2025-06-14 08:32:24.541512,17.67,460,43.39,485,Notifications,8.77,297736,48340,7940,1080,38044.04,Music
YT0000120,2025-08-02 08:32:24.541512,44.66,1718,64.11,147,Channel Page,14.68,1709204,47600,1971,1130,815670.13,Tech
YT0000121,2025-09-28 08:32:24.541512,45.02,675,24.99,137,Suggested,28.37,981662,74802,5029,2152,184061.62,Reacts
YT0000122,2025-06-10 08:32:24.541512,34.54,680,32.81,691,Search,28.27,1816135,38354,6456,461,343047.72,Comedy
YT0000123,2024-12-22 08:32:24.541512,7.67,163,35.42,699,Shorts Feed,26.56,985759,34948,5810,1011,44632.98,Education
YT0000124,2025-08-02 08:32:24.541512,29.53,1209,68.24,136,Shorts Feed,7.95,753527,31402,209,612,253059.48,Tech
YT0000125,2025-05-09 08:32:24.541512,51.8,1452,46.72,370,Browse,16.41,1946615,41833,2946,1438,785134.72,Vlog
YT0000126,2025-09-12 08:32:24.541512,13.31,205,25.67,32,Notifications,20.25,1835330,39838,7306,2699,104511.85,Sports
YT0000127,2025-09-15 08:32:24.541512,37.27,955,42.71,352,Notifications,19.56,1913282,4368,3809,987,507551.2,Comedy
YT0000128,2024-12-28 08:32:24.541512,11.09,216,32.46,101,Notifications,15.32,814409,69809,3972,1087,48864.54,Sports
YT0000129,2025-02-11 08:32:24.541512,44.54,1412,52.84,581,External,0.5,1684639,36078,1823,1961,660752.85,Gaming
YT0000130,2025-11-03 08:32:24.541512,37.8,481,21.21,589,External,14.36,1084299,23572,5298,463,144874.39,Gaming
YT0000131,2025-05-17 08:32:24.541512,41.31,1989,80.25,24,Playlist,26.32,389764,47620,1141,784,215344.61,Comedy
YT0000132,2025-05-03 08:32:24.541512,27.24,559,34.2,325,External,12.83,48741,98198,5559,748,7568.39,Comedy
YT0000133,2025-04-28 08:32:24.541512,35.51,648,30.41,589,Channel Page,24.35,1659723,9684,3954,2246,298750.14,Vlog
YT0000134,2025-01-31 08:32:24.541512,28.85,940,54.3,581,Playlist,27.68,205074,74801,3477,2082,53547.1,Comedy
YT0000135,2025-09-16 08:32:24.541512,39.35,267,11.31,604,Suggested,23.27,1057461,80593,3627,2684,78428.36,Music
YT0000136,2025-04-15 08:32:24.541512,36.77,193,8.75,436,Playlist,26.93,1423534,5489,7027,956,76317.24,Sports
YT0000137,2025-09-19 08:32:24.541512,12.15,347,47.6,80,Search,5.46,187437,7468,6940,209,18066.84,Tech
YT0000138,2025-11-17 08:32:24.541512,19.57,393,33.47,625,Channel Page,25.41,631994,12873,2827,2973,68992.68,News
YT0000139,2025-10-24 08:32:24.541512,40.97,481,19.57,651,Playlist,10.77,278944,63909,6864,1824,37270.02,Comedy
YT0000140,2025-02-07 08:32:24.541512,44.37,673,25.28,337,Notifications,0.77,267867,26208,7383,2539,50076.25,Education
YT0000141,2025-11-16 08:32:24.541512,37.16,497,22.29,341,Channel Page,25.02,1397957,82127,3826,1119,192995.73,Gaming
YT0000142,2025-10-27 08:32:24.541512,33.5,677,33.68,551,Search,28.57,141761,21973,5568,1073,26658.94,Music
YT0000143,2024-11-25 08:32:24.541512,40.56,775,31.85,664,Browse,4.97,161945,55280,5935,431,34863.16,News
YT0000144,2025-03-22 08:32:24.541512,49.9,2086,69.67,481,Suggested,20.45,222829,55639,3915,2091,129117.03,Tech
YT0000145,2025-08-31 08:32:24.541512,23.92,404,28.15,104,Shorts Feed,10.88,15355,94393,4656,1362,1723.17,News
YT0000146,2025-06-06 08:32:24.541512,46.66,865,30.9,472,Browse,10.64,1429374,67437,3684,2,343446.81,Comedy
YT0000147,2025-03-21 08:32:24.541512,8.58,430,83.53,322,Search,15.28,1024228,66933,1190,92,122338.34,Vlog
YT0000148,2025-03-03 08:32:24.541512,13.45,390,48.33,145,Shorts Feed,0.13,862020,46178,7974,239,93385.5,Gaming
YT0000149,2025-07-06 08:32:24.541512,16.52,117,11.8,231,External,27.25,1186134,96507,4740,539,38549.36,Gaming
YT0000150,2025-04-06 08:32:24.541512,32.01,1805,93.98,364,Playlist,5.63,1315327,30090,7851,662,659490.34,Vlog
YT0000151,2024-11-26 08:32:24.541512,6.38,55,14.37,433,Search,15.74,238555,38022,5838,2090,3644.59,Sports
YT0000152,2025-02-20 08:32:24.541512,13.95,200,23.89,34,Shorts Feed,18.91,1301048,52630,3688,2228,72280.44,Reacts
YT0000153,2025-04-19 08:32:24.541512,14.01,302,35.93,463,Suggested,24.1,261659,81922,2082,2095,21950.28,Music
YT0000154,2025-05-23 08:32:24.541512,5.46,162,49.45,601,External,20.44,1554751,24163,5768,1795,69963.8,Gaming
YT0000155,2025-11-09 08:32:24.541512,25.53,793,51.77,178,Channel Page,3.31,1921500,86376,5411,1280,423263.75,Education
YT0000156,2025-07-03 08:32:24.541512,33.06,1308,65.94,302,Shorts Feed,19.19,1028156,45787,6115,2837,373563.35,Gaming
YT0000157,2025-08-29 08:32:24.541512,32.26,1515,78.27,570,Notifications,2.32,425743,72498,2969,2354,179166.85,News
YT0000158,2025-03-20 08:32:24.541512,21.87,287,21.87,570,External,1.71,151181,70348,6978,1613,12052.49,Gaming
YT0000159,2024-12-11 08:32:24.541512,14.88,644,72.13,196,Channel Page,2.49,777221,87045,1785,970,139036.2,Gaming
YT0000160,2025-01-12 08:32:24.541512,39.44,1591,67.23,228,Browse,21.88,715354,77978,1310,1851,316146.73,Reacts
YT0000161,2024-12-06 08:32:24.541512,25.22,614,40.58,667,Shorts Feed,22.63,534211,8015,129,750,91112.65,Reacts
YT0000162,2025-10-02 08:32:24.541512,52.02,3090,99.0,418,Notifications,14.86,584414,75773,430,247,501622.02,Tech
YT0000163,2025-09-28 08:32:24.541512,44.06,901,34.08,82,Suggested,25.05,770485,61802,3455,797,192835.27,Sports
YT0000164,2025-02-12 08:32:24.541512,5.23,241,76.8,391,Suggested,13.04,288147,7709,5797,1069,19289.84,Education
YT0000165,2024-12-12 08:32:24.541512,53.65,601,18.67,560,Shorts Feed,18.13,1303651,29068,5073,2816,217637.29,Gaming
YT0000166,2024-12-17 08:32:24.541512,11.47,466,67.71,183,Channel Page,20.87,33323,16208,1527,1420,4313.48,Gaming
YT0000167,2025-01-24 08:32:24.541512,55.43,914,27.48,165,Channel Page,7.31,982553,39479,4566,32,249459.29,Music
YT0000168,2025-06-20 08:32:24.541512,56.58,167,4.92,528,Notifications,7.95,478303,28194,2744,2402,22187.94,Reacts
YT0000169,2025-09-15 08:32:24.541512,11.85,659,92.69,300,Notifications,20.78,215471,52815,5805,242,39443.16,Education
YT0000170,2025-05-24 08:32:24.541512,12.47,226,30.21,182,Shorts Feed,3.23,1064091,27064,7726,1544,66801.27,Tech
YT0000171,2024-12-31 08:32:24.541512,22.62,28,2.06,591,Suggested,6.96,1717477,62922,7924,1334,13358.15,Sports
YT0000172,2025-10-02 08:32:24.541512,54.72,817,24.88,292,Suggested,27.16,328663,97741,2618,1560,74588.24,Vlog
YT0000173,2025-09-08 08:32:24.541512,39.28,1978,83.93,380,Search,12.84,1614094,3473,2961,855,886854.98,Sports
YT0000174,2025-04-08 08:32:24.541512,20.64,1212,97.87,444,Channel Page,24.6,601070,15309,3227,2353,202360.23,News
YT0000175,2025-09-10 08:32:24.541512,35.92,1394,64.68,530,Browse,1.99,882463,97428,5301,742,341709.28,Gaming
YT0000176,2025-08-09 08:32:24.541512,29.29,1201,68.34,158,Browse,25.51,1931046,84825,7872,989,644218.4,Tech
YT0000177,2025-04-20 08:32:24.541512,56.87,677,19.84,526,Channel Page,8.63,1890124,93060,3773,2426,355448.32,News
YT0000178,2025-11-08 08:32:24.541512,30.46,1578,86.34,615,Search,26.15,674144,11067,261,1094,295499.79,Education
YT0000179,2025-03-14 08:32:24.541512,7.31,325,74.1,449,Channel Page,0.47,1888245,97346,7863,925,170466.56,Vlog
YT0000180,2025-03-01 08:32:24.541512,46.13,556,20.09,47,Shorts Feed,5.51,1487445,61716,3355,404,229727.62,Reacts
YT0000181,2025-01-26 08:32:24.541512,8.49,432,84.81,464,Search,25.65,159486,52692,982,2450,19138.32,Tech
YT0000182,2025-11-06 08:32:24.541512,4.85,221,75.95,612,Shorts Feed,0.99,1630056,77008,965,794,100067.33,Tech
YT0000183,2025-06-19 08:32:24.541512,56.07,1572,46.73,339,Channel Page,18.89,683827,71553,7880,2872,298604.46,Gaming
YT0000184,2025-06-20 08:32:24.541512,22.65,1095,80.57,311,Playlist,25.08,214818,27732,6438,595,65340.48,Comedy
YT0000185,2025-09-08 08:32:24.541512,50.68,2290,75.31,342,External,13.71,910060,99583,2076,1659,578899.28,Tech
YT0000186,2025-06-07 08:32:24.541512,16.84,710,70.27,179,Channel Page,26.01,810857,69588,2500,191,159919.02,Music
YT0000187,2025-05-19 08:32:24.541512,57.83,3144,90.61,479,Playlist,8.38,318630,99383,184,1621,278270.2,Vlog
YT0000188,2025-09-20 08:32:24.541512,13.76,710,86.0,518,Channel Page,6.4,1470991,42136,4470,2287,290112.11,Vlog
YT0000189,2025-02-27 08:32:24.541512,45.27,1277,47.01,41,Suggested,6.23,1748173,37953,333,877,620115.81,Music
YT0000190,2024-12-15 08:32:24.541512,58.1,2031,58.26,595,Notifications,19.17,935591,17835,7402,957,527829.26,Music
YT0000191,2025-11-13 08:32:24.541512,16.59,927,93.13,16,Playlist,0.33,369459,76497,3831,2680,95135.69,Music
YT0000192,2025-03-06 08:32:24.541512,37.8,875,38.58,374,Channel Page,11.3,257269,46851,456,500,62530.66,Vlog
YT0000193,2025-11-11 08:32:24.541512,45.59,919,33.6,404,Channel Page,4.56,1129711,49632,5826,1083,288390.11,Sports
YT0000194,2025-07-11 08:32:24.541512,2.15,43,33.33,402,Suggested,1.95,1701220,37523,3406,794,20320.13,Vlog
YT0000195,2025-03-14 08:32:24.541512,31.27,1552,82.72,33,Playlist,6.61,1993371,93441,5786,16,859364.39,Comedy
YT0000196,2024-12-12 08:32:24.541512,11.81,430,60.68,139,Shorts Feed,15.29,1351510,7747,2014,356,161430.36,Gaming
YT0000197,2025-01-14 08:32:24.541512,43.07,151,5.84,690,Channel Page,15.8,161554,25622,738,508,6776.29,News
YT0000198,2025-11-03 08:32:24.541512,9.59,487,84.64,355,Shorts Feed,10.05,1226533,48175,6506,2561,165922.66,Sports
YT0000199,2025-01-12 08:32:24.541512,50.65,875,28.79,90,Search,7.0,1582459,13467,3192,1025,384625.45,Reacts
YT0000200,2025-01-23 08:32:24.541512,52.12,1035,33.1,651,Search,3.14,301199,69461,3321,2726,86594.71,News
YT0000201,2025-01-05 08:32:24.541512,50.08,2202,73.28,179,External,23.77,599648,41113,6403,304,366784.69,Gaming
YT0000202,2025-07-08 08:32:24.541512,48.41,1850,63.69,533,External,5.72,415992,95252,5873,963,213773.67,Comedy
YT0000203,2025-05-25 08:32:24.541512,15.91,896,93.86,685,Suggested,20.07,1563716,24236,787,2527,389191.54,Comedy
YT0000204,2025-07-09 08:32:24.541512,49.61,1022,34.33,228,Search,16.27,1393999,22034,4013,1725,395740.83,Reacts
YT0000205,2025-07-01 08:32:24.541512,45.38,56,2.06,492,Notifications,15.56,147074,88002,3707,832,2287.82,Sports
YT0000206,2025-05-04 08:32:24.541512,21.2,119,9.36,79,Notifications,23.75,1988789,17521,5760,1774,65740.53,Music
YT0000207,2025-01-16 08:32:24.541512,29.88,1772,98.84,247,Channel Page,1.75,1988771,48440,1411,1704,978917.28,Sports
YT0000208,2025-02-06 08:32:24.541512,51.45,1851,59.96,258,Notifications,14.34,1295004,88715,7859,2639,665847.89,Comedy
YT0000209,2025-06-22 08:32:24.541512,24.56,1328,90.12,488,Browse,0.88,742717,61778,5995,2128,273980.05,Vlog
YT0000210,2025-09-29 08:32:24.541512,14.5,458,52.64,157,Search,26.39,1039135,71802,4332,2130,132201.06,Gaming
YT0000211,2025-03-26 08:32:24.541512,15.46,384,41.4,409,Channel Page,8.48,1274094,32430,2129,2996,135903.36,Reacts
YT0000212,2025-02-19 08:32:24.541512,23.16,1375,98.95,587,Search,26.35,360219,42199,7035,2616,137583.65,Gaming
YT0000213,2025-08-13 08:32:24.541512,1.54,20,21.65,305,Search,21.75,493087,92238,5322,897,2739.37,Education
YT0000214,2025-02-27 08:32:24.541512,44.24,293,11.04,56,Search,20.45,145581,91649,1542,324,11848.68,Education
YT0000215,2025-06-28 08:32:24.541512,13.0,588,75.38,31,Browse,28.88,1859144,88928,1874,746,303660.19,Sports
